model,segment,rmse,mae,n,rank_spearman,rank_kendall,rank_n_users,rank_ndcg,rank_k,rank_arhr,rank_relevance_threshold,rank_roc_auc,rank_n
1_CF_SVDpp,overall,0.9008899897153759,0.6913934069572174,19618,0.3327224995200485,0.2700340804438683,593,0.911016463345833,10,0.8601274124039723,4.0,0.7618553667190975,19618
1_CF_SVDpp,cold,0.9653225057818514,0.7451290203312068,6434,0.2974871341349514,0.23379972204838725,90,0.8627741795600457,10,0.8386419753086419,4.0,0.7065117002213963,6434
1_CF_SVDpp,warm,0.9132856807842757,0.7008300744706685,1502,0.3279705279701233,0.2817499563662823,242,0.9603820785452656,10,0.8677341597796143,4.0,0.7777897113901739,1502
1_CF_SVDpp,power,0.8616757966134105,0.6605845719072728,11682,0.3496761184141492,0.271629129745413,261,0.8794123522425312,10,0.860483184333759,4.0,0.7840846587897344,11682
2_ContentBased,overall,1.0443902417264121,0.8002049099303349,19618,0.18571151311886422,0.1486624230406463,593,0.8899402263718487,10,0.8218561792339195,4.0,0.6925684933876715,19618
2_ContentBased,cold,1.2686338249777882,0.9820779485804202,6434,0.06828777268048554,0.0568425577550364,90,0.8178550589347937,10,0.7396296296296296,4.0,0.5983605543564976,6434
2_ContentBased,warm,0.9683508559590707,0.7459124099971822,1502,0.16955076929372098,0.14378156404975542,242,0.9499579486305367,10,0.8311737504919323,4.0,0.7416987956231181,1502
2_ContentBased,power,0.9081625938177037,0.7070167746987776,11682,0.23487168838836256,0.17970389348184396,261,0.8562516469991526,10,0.8415708812260535,4.0,0.7517486422872268,11682
3_StaticHybrid,overall,0.8938263800723245,0.6884687058873212,19618,0.3502394050390702,0.2842618564409226,593,0.9153156204760539,10,0.873660296046468,4.0,0.7648829433700307,19618
3_StaticHybrid,cold,0.9655724374938508,0.7513213914618257,6434,0.30761375278155895,0.24168586252564064,90,0.866366057283581,10,0.8651851851851851,4.0,0.6972321793000662,6434
3_StaticHybrid,warm,0.906408205059823,0.696357053026085,1502,0.34177871578996055,0.2947579764666025,242,0.9622514902324655,10,0.8790977961432506,4.0,0.7836151501799222,1502
3_StaticHybrid,power,0.8500230821248264,0.6528376087816216,11682,0.37333623121040865,0.2892559466854117,261,0.8863533265538687,10,0.8715410813111962,4.0,0.792841621626585,11682
4_LearnedGate,overall,0.8877439268644384,0.6845305522243904,19618,0.3610312610381259,0.29465007917990066,593,0.9169201276073483,10,0.8803561390829517,4.0,0.7713830376226305,19618
4_LearnedGate,cold,0.9595306607745043,0.7466904376771244,6434,0.30204898032587907,0.23736542927159868,90,0.8668956086338876,10,0.8645502645502645,4.0,0.7062344234111106,6434
4_LearnedGate,warm,0.9060415662964081,0.696503005183535,1502,0.3571296939144394,0.31142334529126053,242,0.9648370840733211,10,0.8918388429752065,4.0,0.7825980392156862,1502
4_LearnedGate,power,0.8431090072776444,0.6487559136909609,11682,0.38554413475201343,0.2988402881064721,261,0.8873706944035294,10,0.8751596424010216,4.0,0.7991175453789581,11682
5_BanditGate,overall,0.9112663855884459,0.6948389136939125,19618,0.32668207544102285,0.26340800329359043,593,0.9108020604912889,10,0.8596041114590861,4.0,0.7558952672811738,19618
5_BanditGate,cold,1.0113568038834344,0.776620064633869,6434,0.2714553522722218,0.20912659429702538,90,0.8594268885889026,10,0.8408465608465607,4.0,0.6692402663712655,6434
5_BanditGate,warm,0.9187965403604101,0.699560821937583,1502,0.31057549259475353,0.26622679398458493,242,0.9593105337575035,10,0.8650137741046833,4.0,0.7767395534993022,1502
5_BanditGate,power,0.8500871113171581,0.6491898611918003,11682,0.36151501666803715,0.27985248890901704,261,0.8811462680989611,10,0.861056376573618,4.0,0.7952532615325684,11682
6_GAEvolvedGate,overall,0.8887609795523572,0.684042827377295,19618,0.3662338700995197,0.29764581245786775,593,0.9169779069706819,10,0.8754376455472579,4.0,0.7710112302375867,19618
6_GAEvolvedGate,cold,0.9625128469114654,0.7465203406862535,6434,0.30160140134740865,0.23739060335364187,90,0.8676696334124994,10,0.8497354497354498,4.0,0.7036083380745944,6434
6_GAEvolvedGate,warm,0.9056187326535499,0.6954373083233846,1502,0.366165663352549,0.31637259059667877,242,0.9645474017643426,10,0.8852961432506886,4.0,0.7836004626569729,1502
6_GAEvolvedGate,power,0.8430946594445826,0.6481675636372792,11682,0.38908126705427026,0.3010194196648594,261,0.8875181407077779,10,0.8751596424010217,4.0,0.7993384830742032,11682
7_SequentialGate,overall,0.8893101121493928,0.6841825497594132,19618,0.3625219946660743,0.29500824961072336,593,0.9167747586072486,10,0.8791877459246769,4.0,0.769242221064725,19618
7_SequentialGate,cold,0.9655724392797684,0.7513213937672579,6434,0.30761245228065304,0.24168411149075245,90,0.866366057283581,10,0.8651851851851851,4.0,0.6972322276145477,6434
7_SequentialGate,warm,0.9043648609644487,0.6935156530202872,1502,0.36069531836595603,0.31221919579578045,242,0.9644769539117636,10,0.8880509641873277,4.0,0.7841888815451274,1502
7_SequentialGate,power,0.8423129287862307,0.6460050421884231,11682,0.38361977358633564,0.2973848592159269,261,0.8875722158046319,10,0.8757982120051084,4.0,0.7997556900904614,11682
