step,Bandit (LinUCB),Bandit (epsilon-greedy),CF/SVD++ only,Content-Based only,Static Hybrid (a=0.84)
1,0.18797006386393278,0.18797006386393278,0.16645141371806993,0.18797006386393278,0.10974397730494978
2,0.13642956349558616,0.13642956349558616,0.158654702556659,0.13478349364030595,0.12108029938483929
3,0.48577176368620895,0.48577176368620895,0.3035399038955291,0.5338722939992661,0.32936065344171117
4,0.6224765540413383,0.6224765540413383,0.3619872654914016,0.7175758529876736,0.4116763660354615
5,0.560222398925947,0.559865716333301,0.3265346008300809,0.6462316830044287,0.3712875450182003
6,0.511653632967859,0.5110856730597585,0.31162985610402233,0.5929043198871627,0.34546582285396876
7,0.5855437354077228,0.5851184267178046,0.4484345349897424,0.648625447584272,0.4694649443716664
8,0.5493001320812758,0.5489034331399381,0.4231766642267359,0.6067882941089293,0.4417854830471482
9,0.5182474913415333,0.5178737416915611,0.39920089248421825,0.5737102636377607,0.4169162675630674
10,0.4916529150897606,0.49129834516605286,0.37872355770811006,0.5449275817394202,0.3955274695286614
11,0.4692647030392909,0.46892698861535514,0.361737275226646,0.5379266144202269,0.37927204965211164
12,0.5152873548938898,0.5113055388758386,0.4196832951139037,0.602905570291717,0.4404424741209175
13,0.549530128362017,0.5729647372813585,0.4684787021444183,0.6678958215389367,0.4933086406601291
14,0.6102870534657227,0.6007356649116226,0.548595048258696,0.682928189234228,0.5612491534896543
15,0.6210431154550796,0.6240833733617536,0.5558779149065843,0.7008231602045774,0.570888460198818
16,0.6044930284050197,0.6068620524106597,0.5408484390322135,0.6819272408059778,0.5555391625434831
17,0.5887409439057747,0.6017880493327328,0.5392968347217286,0.6618936744270837,0.5496690688814531
18,0.6003769438874267,0.612912323838308,0.551017968092441,0.6692828924416098,0.5613351096076254
19,0.6331155044495148,0.6229441064113675,0.565517692710416,0.6954982187745979,0.578339810813681
20,0.6191994202232188,0.6110289008609298,0.5565879289366411,0.6796011921338518,0.5683546435274187
21,0.6230965204928609,0.6693078015237176,0.6224417240193588,0.6632228529793361,0.610605452687106
22,0.6087705706767272,0.6539398771762754,0.6082633863125739,0.6480922551564264,0.5966299455581934
23,0.6504527418245301,0.7224616717841428,0.6137011335948933,0.820656306664964,0.6201695752466884
24,0.681675851910034,0.7554607490278,0.6203446958511145,0.8461284006326457,0.6310950915805507
25,0.6679032028626453,0.7498188354019616,0.677521635887838,0.8290331353708804,0.6675120443173588
26,0.7110148003230957,0.7702199605491605,0.6954938418508552,0.8613346425577162,0.6900158346323881
27,0.7275611737605775,0.7848355807888786,0.7209225879529011,0.8642303993332998,0.7131784437220168
28,0.7537576894172137,0.8100186784850961,0.7668561957886318,0.8727985253691143,0.7543162509411048
29,0.7406478663415573,0.7965784934707236,0.7550549751495522,0.858212594408332,0.7420383112758037
30,0.7476400188548746,0.8029235213183709,0.7639091574954507,0.8606216008803966,0.7510674192672273
31,0.8179621735497341,0.8596692997170982,0.8323823898609056,0.8870799420242855,0.8146094881519376
32,0.8054219923434385,0.8487710238207513,0.8220001389217437,0.8733082580441345,0.8039611971468983
33,0.8128078200707601,0.8497014435833579,0.8237839008855429,0.8916691868110506,0.808948614175413
34,0.8273121131779468,0.8755801791454492,0.8512013203517182,0.8927516833397084,0.8326247259091709
35,0.8182360181764068,0.8656865725373575,0.8417023638487147,0.8826341252371178,0.8234723697269993
36,0.9328065474603439,0.9704177149180546,0.9311818088093915,0.9977164135749633,0.9200886256873811
37,0.9206796508974099,0.9578675388844394,0.919078003673489,0.9848540009714184,0.9081725560614253
