segment,model_a,model_b,rmse_a,rmse_b,mean_diff,ci_lo,ci_hi,bootstrap_significant,wilcoxon_p,wilcoxon_significant,n
overall,1_CF_SVDpp,2_ContentBased,0.9008899897153759,1.0443902417264121,-0.1435055387303981,-0.1531493337306089,-0.1337572352541004,True,1.7150412563143636e-148,True,19618
overall,1_CF_SVDpp,3_StaticHybrid,0.9008899897153759,0.8938263800723245,0.00706056698448665,0.005435291720895603,0.008707839955037065,True,2.2575774565522137e-14,True,19618
overall,1_CF_SVDpp,4_LearnedGate,0.9008899897153759,0.8877439268644384,0.013158780116234031,0.010775627208270825,0.01550156362592367,True,1.0803829727451e-14,True,19618
overall,1_CF_SVDpp,5_BanditGate,0.9008899897153759,0.9112663855884459,-0.010380301305711269,-0.013938503005201127,-0.006843493989621198,True,0.24337808463285993,False,19618
overall,1_CF_SVDpp,6_GAEvolvedGate,0.9008899897153759,0.8887609795523572,0.01214337338117263,0.009811639841019959,0.01442580729844259,True,6.369406917495257e-14,True,19618
overall,1_CF_SVDpp,7_SequentialGate,0.9008899897153759,0.8893101121493928,0.011594982459673475,0.008870039181065962,0.014316704847654424,True,4.187729559438089e-08,True,19618
overall,2_ContentBased,3_StaticHybrid,1.0443902417264121,0.8938263800723245,0.15056610571488474,0.14220023971194287,0.1587327533034154,True,3.776789684678674e-219,True,19618
overall,2_ContentBased,4_LearnedGate,1.0443902417264121,0.8877439268644384,0.15666431884663212,0.1481695018754275,0.16532634710921487,True,6.404417550924109e-238,True,19618
overall,2_ContentBased,5_BanditGate,1.0443902417264121,0.9112663855884459,0.13312523742468682,0.12518346642509606,0.1408246474976859,True,5.581308123458079e-264,True,19618
overall,2_ContentBased,6_GAEvolvedGate,1.0443902417264121,0.8887609795523572,0.15564891211157073,0.1470594902048298,0.16421526033312195,True,1.005139120570607e-236,True,19618
overall,2_ContentBased,7_SequentialGate,1.0443902417264121,0.8893101121493928,0.15510052119007156,0.14729683229208426,0.16290747793056354,True,1.1912519308657398e-272,True,19618
overall,3_StaticHybrid,4_LearnedGate,0.8938263800723245,0.8877439268644384,0.006098213131747379,0.004510059263031597,0.007681027552367228,True,4.301024063781923e-05,True,19618
overall,3_StaticHybrid,5_BanditGate,0.8938263800723245,0.9112663855884459,-0.01744086829019792,-0.020148501267299064,-0.014723031629988493,True,0.0002016872946269619,True,19618
overall,3_StaticHybrid,6_GAEvolvedGate,0.8938263800723245,0.8887609795523572,0.00508280639668598,0.003571193768342193,0.00657284722996025,True,9.30232931453969e-09,True,19618
overall,3_StaticHybrid,7_SequentialGate,0.8938263800723245,0.8893101121493928,0.004534415475186824,0.002982656025786085,0.006021481087732153,True,0.0008082506762487346,True,19618
overall,4_LearnedGate,5_BanditGate,0.8877439268644384,0.9112663855884459,-0.023539081421945298,-0.02674070815192866,-0.020431536469125232,True,1.5751509928346337e-06,True,19618
overall,4_LearnedGate,6_GAEvolvedGate,0.8877439268644384,0.8887609795523572,-0.0010154067350614004,-0.0017394772680601493,-0.0002427353882634491,True,0.01622146887675232,True,19618
overall,4_LearnedGate,7_SequentialGate,0.8877439268644384,0.8893101121493928,-0.0015637976565605557,-0.002814240242299809,-0.00043379568603609333,True,0.00032672387642637143,True,19618
overall,5_BanditGate,6_GAEvolvedGate,0.9112663855884459,0.8887609795523572,0.0225236746868839,0.01963191853871485,0.025466207835516348,True,8.195930675678922e-11,True,19618
overall,5_BanditGate,7_SequentialGate,0.9112663855884459,0.8893101121493928,0.021975283765384743,0.019360783041683823,0.024693562541798792,True,3.702611628768833e-16,True,19618
overall,6_GAEvolvedGate,7_SequentialGate,0.8887609795523572,0.8893101121493928,-0.0005483909214991551,-0.0017742560410019036,0.0005603059741670885,False,0.5563536090225623,False,19618
cold,1_CF_SVDpp,2_ContentBased,0.9653225057818514,1.2686338249777882,-0.3033819704219326,-0.3250019566558573,-0.28204755718217817,True,3.746419981865247e-148,True,6434
cold,1_CF_SVDpp,3_StaticHybrid,0.9653225057818514,0.9655724374938508,-0.00026422081233134316,-0.004331843178995522,0.0036217183389885606,False,0.04191657621653372,True,6434
cold,1_CF_SVDpp,4_LearnedGate,0.9653225057818514,0.9595306607745043,0.005747235319007333,0.002402016864840331,0.009052864970767596,True,0.2366171867826642,False,6434
cold,1_CF_SVDpp,5_BanditGate,0.9653225057818514,1.0113568038834344,-0.04598324675668564,-0.053844618473997276,-0.03832779482565134,True,1.147193382123078e-16,True,6434
cold,1_CF_SVDpp,6_GAEvolvedGate,0.9653225057818514,0.9625128469114654,0.0027921590614827614,8.134424761489793e-05,0.005589683692858471,True,0.8837333550739147,False,6434
cold,1_CF_SVDpp,7_SequentialGate,0.9653225057818514,0.9655724392797684,-0.00026422260063337414,-0.004331845601851088,0.003621717161911433,False,0.04191657621653372,True,6434
cold,2_ContentBased,3_StaticHybrid,1.2686338249777882,0.9655724374938508,0.3031177496096012,0.28558393895913786,0.3213702674407741,True,9.423067683947346e-192,True,6434
cold,2_ContentBased,4_LearnedGate,1.2686338249777882,0.9595306607745043,0.3091292057409399,0.28978625597059143,0.3290824204432576,True,2.1311259517903802e-165,True,6434
cold,2_ContentBased,5_BanditGate,1.2686338249777882,1.0113568038834344,0.2573987236652469,0.24040991136110937,0.2752193441770026,True,5.594801132314193e-202,True,6434
